,Product Name,Price,Rating,Features
343,"realme GT Neo 3T (Drifting White, 256 GB)","₹38,999",4.3,"8 GB RAM | 256 GB ROM
16.81 cm (6.62 inch) Full HD+ AMOLED Display
64MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Qualcomm Snapdragon 870 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
344,"realme GT Neo 3T (Dash Yellow, 256 GB)","₹38,999",4.3,"8 GB RAM | 256 GB ROM
16.81 cm (6.62 inch) Full HD+ AMOLED Display
64MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Qualcomm Snapdragon 870 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
345,"realme C15 (Power Silver, 32 GB)","₹9,790",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
346,"realme 2 (Diamond Black, 64 GB)","₹10,990",4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
347,"realme C15 Qualcomm Edition (Power Silver, 64 GB)","₹12,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Qualcomm Snapdragon 460 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
348,"realme C12 (Power Blue, 32 GB)","₹10,999",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
349,"realme C15 Qualcomm Edition (Power Silver, 32 GB)","₹11,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Qualcomm Snapdragon 460 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
350,"realme 10 Pro 5G (Coca Cola Edition) (Black and Red, 128 GB)","₹18,999",4.5,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
108MP + 2MP | 16MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 695 5G Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
351,"realme C2 (Diamond Blue, 16 GB)","₹6,999",4.4,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4000 mAh Battery
MediaTek P22 Octa Core 2.0 GHz Processor
Dual Nano SIM slots and Memory Card Slot
Face Unlock
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
352,"realme C15 Qualcomm Edition (Power Blue, 64 GB)","₹12,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Qualcomm Snapdragon 460 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
353,"realme C15 Qualcomm Edition (Power Blue, 32 GB)","₹11,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Qualcomm Snapdragon 460 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
354,"realme C2 (Diamond Black, 16 GB)","₹6,998",4.4,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4000 mAh Battery
MediaTek P22 Octa Core 2.0 GHz Processor
Dual Nano SIM slots and Memory Card Slot
Face Unlock
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
355,"realme C12 (Power Blue, 64 GB)","₹10,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
356,"realme C12 (Power Silver, 64 GB)","₹9,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
357,"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹21,999",4.1,"8 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Display
48MP Rear Camera
5000 mAh Battery
Dimensity 920 5G Processor Processor
12Months Brand Warranty"
358,"realme 6 Pro (Lightning Blue, 64 GB)","₹12,999",4.4,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.76 cm (6.6 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera
4300 mAh Battery
Snapdragon 720G Processor
90 Hz Ultra Smooth Display
30 W Flash Charge
Side Fingerprint Sensor | Dual In Display Selfie
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
359,"realme X7 5G (Space Silver, 128 GB)","₹23,999",4.3,"8 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Full HD+ Display
64MP + 8MP + 2MP | 16MP Front Camera
4310 mAh Battery
MediaTek Dimensity 800U Processor
Super AMOLED Display
50W Fast Charging | Lightweight (176 g) and Slim
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
360,"realme C12 (Power Silver, 32 GB)","₹10,999",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
361,"realme 6 Pro (Lightning Blue, 128 GB)","₹18,900",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.76 cm (6.6 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera
4300 mAh Battery
Snapdragon 720G Processor
90 Hz Ultra Smooth Display
30 W Flash Charge
Side Fingerprint Sensor | Dual In Display Selfie
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
362,"realme C1 (Mirror Black, 16 GB)","₹8,990",4.4,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
363,"realme C1 (Navy Blue, 16 GB)","₹8,990",4.4,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
364,"realme 8 5G (Supersonic Black, 128 GB)","₹17,490",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Dimensity 700 (MT6833) Processor
1 Year Warranty for Mobile and 6 Months for Accessories"
365,"realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.76 cm (6.6 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera
4300 mAh Battery
Snapdragon 720G Processor
90 Hz Ultra Smooth Display
30 W Flash Charge
Side Fingerprint Sensor | Dual In Display Selfie
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
366,"realme 9 (Sunburst Gold, 128 GB)","₹18,490",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.26 cm (6.4 inch) Full HD+ AMOLED Display
108MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Qualcomm Snapdragon 680 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
367,"realme Narzo 30 (Racing Blue, 64 GB)","₹10,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
30W Charger
1 Year Warranty for Mobile and 6 Months for Accessories"
368,"realme 5 (Crystal Purple, 128 GB)","₹12,999",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera
5000 mAH Battery
Qualcomm Snapdragon 665 2 GHz Processor
Fingerprint
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
369,"realme 5 (Crystal Blue, 64 GB)","₹11,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera
5000 mAH Battery
Qualcomm Snapdragon 665 2 GHz Processor
Fingerprint
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
370,"realme 5 (Crystal Purple, 64 GB)","₹11,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera
5000 mAH Battery
Qualcomm Snapdragon 665 2 GHz Processor
Fingerprint
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
371,"realme 5 (Crystal Blue, 32 GB)","₹10,999",4.5,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera
5000 mAH Battery
Qualcomm Snapdragon 665 2 GHz Processor
Fingerprint
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
372,"realme 5 (Crystal Purple, 32 GB)","₹10,499",4.5,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera
5000 mAH Battery
Qualcomm Snapdragon 665 2 GHz Processor
Fingerprint
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
373,"realme C1 (Mirror Black, 32 GB)","₹8,999",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Face Unlock
2019 Edition
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
374,"realme C25_Y (Glacier Blue, 128 GB)","₹11,999",4.5,"4 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh LiPo Battery
Unisoc T618 Processor
1 Year Domestic Warranty"
375,"realme GT Neo 3 (150W - Thor Limited Edition) (Nitro Blue, 256 GB)","₹32,999",4.2,"12 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 8MP + 2MP | 16MP Front Camera
4500 mAh Lithium Ion Battery
Mediatek Dimensity 8100 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
376,"realme X50 Pro (Moss Green, 256 GB)","₹34,990",4.4,"12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera
4200 mAh Battery
5G Phone
Qualcomm Snapdragon 865 Processor
65W Superdart Charge
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
377,"realme C35 (Glowing Green, 128 GB)","₹11,699",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 2MP + 0.3MP | 8MP Front Camera
5000 mAh Lithium Polymer Battery
Unisoc Tiger T616 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
378,"realme Narzo 10A (So White, 64 GB)","₹9,499",4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
12MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Lithium-ion Battery
MediaTek Helio G70 (12 nm) Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
379,"realme 5i (Aqua Blue, 128 GB)","₹11,999",4.5,"4 GB RAM | 128 GB ROM
16.56 cm (6.52 inch) HD+ Display
12MP + 8MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 665 (2 GHz) Processor
Sunrise Design
Reverse Charging
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
380,"realme 5i (Forest Green, 64 GB)","₹10,999",4.5,"4 GB RAM | 64 GB ROM
16.56 cm (6.52 inch) HD+ Display
12MP + 8MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 665 2 GHz Processor
Sunrise Design
Reverse Charging
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
381,"realme 5i (Aqua Blue, 64 GB)","₹10,999",4.5,"4 GB RAM | 64 GB ROM
16.56 cm (6.52 inch) HD+ Display
12MP + 8MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 665 2 GHz Processor
Sunrise Design
Reverse Charging
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
382,"realme 7i (Fusion Blue, 64 GB)","₹11,849",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
64MP + 8MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium-ion Battery
Qualcomm Snapdragon 662 Processor
90 Hz Ultra Smooth Display
18W Quick Charge
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
383,"realme 7i (Fusion Green, 64 GB)","₹11,849",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
64MP + 8MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium-ion Battery
Qualcomm Snapdragon 662 Processor
90 Hz Ultra Smooth Display
18W Quick Charge
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
384,"realme Narzo 30 5G (Racing Silver, 128 GB)","₹16,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Dimensity 700 (MT6833) Processor
1 Year Warranty for Mobile and 6 Months for Accessories"
385,"realme C25Y (Metal Grey, 128 GB)","₹13,999",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Unisoc T610 Octa Core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"
386,"realme narzo 50 5G (Hyper Black, 128 GB)","₹17,490",4.3,"6 GB RAM | 128 GB ROM
16.76 cm (6.6 inch) Display
48MP Rear Camera
5000 mAh Battery
12Months Brand Warranty"
387,"realme Narzo 20 (Victory Blue, 64 GB)","₹10,499",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
48MP + 8MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
MediaTek Helio G85 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
388,"realme narzo 50 5G (Hyper Blue, 128 GB)","₹15,380",4.3,"4 GB RAM | 128 GB ROM
16.76 cm (6.6 inch) Display
48MP Rear Camera
5000 mAh Battery
12Months Brand Warranty"
389,"realme C25Y (Glacier Blue, 128 GB)","₹13,999",4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Unisoc T610 Octa Core Processor
1 Year Warranty for Mobile and 6 Months for Accessories"
390,"realme 6 (Comet Blue, 128 GB)","₹16,999",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 16MP Front Camera
4300 mAh Battery
MediaTek Helio G90T Processor
90 Hz Ultra Smooth Display
30 W Flash Charge
Side Fingerprint Sensor
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
391,"realme C12 (Power Silver, 32 GB)","₹10,490",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
6000 mAh Lithium-ion Battery
Mediatek Helio G35 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
392,"realme X2 (Pearl White, 128 GB)","₹18,999",4.5,"8 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
393,"realme X2 (Pearl Green, 128 GB)","₹18,999",4.5,"8 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
394,"realme X2 (Pearl White, 128 GB)","₹17,999",4.5,"6 GB RAM | 128 GB ROM
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
395,"realme X2 (Pearl White, 64 GB)","₹15,999",4.5,"4 GB RAM | 64 GB ROM
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
396,"realme GT Neo 3 (Asphalt Black, 256 GB)","₹28,999",4.1,"8 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 8MP + 2MP | 16MP Front Camera
5000 mAh Lithium Ion Battery
Mediatek Dimensity 8100 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
397,"realme X50 Pro 5G (Rust Red, 256 GB)","₹47,999",4.3,"12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera
4200 mAh Battery
5G Phone
Qualcomm Snapdragon 865 Processor
65W Superdart Charge
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
398,"realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
12MP + 2MP | 5MP Front Camera
5000 mAh Battery
Helio G70 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
399,"realme Narzo 30 5G (Racing Blue, 128 GB)","₹16,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Dimensity 700 (MT6833) Processor
1 Year Warranty for Mobile and 6 Months for Accessories"
400,"realme Narzo 20 (Victory Blue, 128 GB)","₹11,499",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
48MP + 8MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
MediaTek Helio G85 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
401,"realme Narzo 20 (Glory Silver, 128 GB)","₹11,499",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
48MP + 8MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
MediaTek Helio G85 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
